name,time,eth_dst,eth_src,ip_dst,ip_proto,ip_src,payload,proto,switch
blocked,1653210863572288000,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,77.241.26.93,160,tcp,0000000000000001
blocked,1653210863572699904,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,30.207.44.237,160,tcp,0000000000000001
blocked,1653210863573142016,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,76.156.244.117,160,tcp,0000000000000001
blocked,1653210863573577984,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,106.105.30.45,160,tcp,0000000000000001
blocked,1653210863574021120,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,8.104.165.118,160,tcp,0000000000000001
blocked,1653210863574449152,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,75.163.111.233,160,tcp,0000000000000001
blocked,1653210863574836992,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,192.118.176.156,160,tcp,0000000000000001
blocked,1653210863575222016,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,108.244.138.196,160,tcp,0000000000000001
blocked,1653210863575634944,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,12.76.46.100,160,tcp,0000000000000001
blocked,1653210863576040960,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,30.26.156.139,160,tcp,0000000000000001
blocked,1653210863576473856,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,202.47.190.44,160,tcp,0000000000000001
blocked,1653210863576903168,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,163.52.187.96,160,tcp,0000000000000001
blocked,1653210863577331968,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,41.176.93.54,160,tcp,0000000000000001
blocked,1653210863577764096,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,21.232.57.47,160,tcp,0000000000000001
blocked,1653210863578190080,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,184.6.133.30,160,tcp,0000000000000001
blocked,1653210863578624000,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,248.138.81.107,160,tcp,0000000000000001
blocked,1653210863579051008,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,254.196.42.150,160,tcp,0000000000000001
blocked,1653210863579479808,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,46.240.248.33,160,tcp,0000000000000001
blocked,1653210863579860992,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,237.205.252.23,160,tcp,0000000000000001
blocked,1653210863580297984,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,217.119.58.22,160,tcp,0000000000000001
blocked,1653210863580719872,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,44.76.220.132,160,tcp,0000000000000001
blocked,1653210863581135104,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,13.93.2.88,160,tcp,0000000000000001
blocked,1653210863581562880,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,178.20.76.207,160,tcp,0000000000000001
blocked,1653210863581993216,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,139.108.60.233,160,tcp,0000000000000001
blocked,1653210863582422016,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,207.191.105.148,160,tcp,0000000000000001
